Component,Type,Letter,Score
Rotated_Component_6,Positive,I feel re introducing this act could benefit to many businesses by bringing in fresh new ideas and look more appealing to customers to see a loving and warming environment convincing many others that this business cares and accepts everyone.,16.212856430568905
Rotated_Component_6,Negative,"Senator, 
 
 This is important and beneficial to women everywhere.",-42.1190252969233
Rotated_Component_6,Negative,I have no desire to write to my senators at this time,-33.52919882883043
Rotated_Component_6,Negative,"Dear Senator of mine who does not care about women,",-33.45280200522885
Rotated_Component_6,Negative,Women deserve this !,-27.992457037712065
Rotated_Component_6,Negative,"Dear senator, 
 I am interested to promote the empowerment, development, and prosperity of women globally.",-27.659503725004573
Rotated_Component_7,Positive,introduce,44.91691714090649
Rotated_Component_7,Positive,ok,38.908326611055465
Rotated_Component_7,Positive,na,33.075664074408934
Rotated_Component_7,Positive,give it a chance,32.41429139068062
Rotated_Component_7,Positive,do it,30.177337110294292
Rotated_Component_7,Negative,I believe that men and women should get the same treatment. I am anti feminism.,-18.855096766504012
Rotated_Component_7,Negative,"This bill should be re-introduced because gender inequality is still a huge issue. An issue that is harming all of us, women and men.",-18.12756970991979
Rotated_Component_7,Negative,Women should be empowered and treated equally. We are now in 2021 and equality should be happening.,-17.71146931666517
Rotated_Component_7,Negative,I feel that this bill should be reintroduced because women equality needs to be identified and FIXED. It is crazy that we are living in this time and still women are not as substantial as men? For no reason. Address these issues and start something that actually benefits women.,-17.31122917432953
Rotated_Component_7,Negative,"This should not be reintroduced becuse it is unfair to men, in the same vein as affirmative action.",-16.32169727345544
Rotated_Component_8,Positive,do not re-introduce,34.95948789959897
Rotated_Component_8,Positive,"Do not reintroduce this, it is a waste of money.",30.841417287706992
Rotated_Component_8,Positive,Don't re-introduce it. It's sexist.,29.862726079209725
Rotated_Component_8,Positive,"Please do not reintroduce this, it's sexist.",29.369046374783103
Rotated_Component_8,Positive,re-Introduce this piece of legislation,27.89245978297162
Rotated_Component_8,Negative,"I fully support the bill for the empowerment, development, and prosperity of women worldwide and for other purposes.",-22.50153978542342
Rotated_Component_8,Negative,"Dear senator, 
 I am interested to promote the empowerment, development, and prosperity of women globally.",-22.130619007287294
Rotated_Component_8,Negative,"I support this bill for the empowerment, development and prosperity of women worldwide and for other purposes.",-22.004717103518313
Rotated_Component_8,Negative,"A bill to promote the empowerment, development, and prosperity of women globally, and for other purposes. that's why i support this Bill.",-20.242796304604557
Rotated_Component_8,Negative,I am writing to encourage the passing of this important bill. Women's empowerment and prosperity is very important in our country and I strongly support of this bill.,-18.199736709382915
Rotated_Component_9,Positive,introduce,32.7359951805327
Rotated_Component_9,Positive,do not re-introduce,29.905468680446692
Rotated_Component_9,Positive,re-Introduce the bill because This bill is in favor of women's empowerment inequality,24.825033666870848
Rotated_Component_9,Positive,actually i do not reintroduce it,22.126885934560462
Rotated_Component_9,Positive,"please re-Introduce the bill because it promote the empowerment, development, and prosperity of women globally, and for other purposes.",21.776357235639008
Rotated_Component_9,Negative,You need to do what's best for the people you are leading!,-23.47915412629852
Rotated_Component_9,Negative,You can make a positive difference!,-22.66952550773198
Rotated_Component_9,Negative,An important aspect of the U.S. government process is that senators act as voices for their state electorate. I think he succeeded in fulfilling his responsibilities.,-22.426313878043562
Rotated_Component_9,Negative,"As a politician, he was known for being a fiscal conservative and strong environmentalist.",-22.222890126790233
Rotated_Component_9,Negative,"Hard-working people deserve to earn a living wage, and our families deserve a tax system that works for everyone, not just the wealthiest Americans.",-19.90246493550919
Rotated_Component_10,Positive,undefined,21.388170673505563
Rotated_Component_10,Positive,"The development, and prosperity of women globally.",20.094005346166643
Rotated_Component_10,Positive,"The development, and prosperity of women globally.",20.094005346166643
Rotated_Component_10,Positive,GOOD,17.91919396116859
Rotated_Component_10,Positive,ok,17.879248734727142
Rotated_Component_10,Negative,I believe it is important that women have representation in our government.,-28.212262766134064
Rotated_Component_10,Negative,I have no desire to write to my senators at this time,-24.53172238345807
Rotated_Component_10,Negative,i believe this bill should be reintroduced,-23.79046513308583
Rotated_Component_10,Negative,I think women have a role to play in leadership and it would be beneficial to reintroduce this bill.,-22.254919188412778
Rotated_Component_10,Negative,I do not feel it necessary to reintroduce this bill or have an office for this. It's a waste of taxpayer money.,-20.02721383913481
